match_id,team,completed_passes,total_passes,pass_completion_percentage,Shots,duels,Goals,match_date,match_week
3890259,Bayern Munich,711,797,89.20953575909661,22,76,5.0,2015-08-14,1
3890259,Hamburger SV,150,240,62.5,5,76,0.0,2015-08-14,1
3890265,Augsburg,340,440,77.27272727272727,20,60,0.0,2015-08-15,1
3890265,Hertha Berlin,381,460,82.82608695652173,11,60,1.0,2015-08-15,1
3890260,Bayer Leverkusen,328,465,70.53763440860214,25,112,2.0,2015-08-15,1
3890260,Hoffenheim,196,331,59.21450151057401,6,112,1.0,2015-08-15,1
3890264,Schalke 04,262,372,70.43010752688173,16,81,2.0,2015-08-15,1
3890264,Werder Bremen,356,464,76.72413793103449,15,81,0.0,2015-08-15,1
3890262,Darmstadt 98,135,275,49.09090909090909,11,98,2.0,2015-08-15,1
3890262,Hannover 96,261,397,65.74307304785894,14,98,1.0,2015-08-15,1
3890263,FSV Mainz 05,344,500,68.8,11,113,0.0,2015-08-15,1
3890263,Ingolstadt,252,406,62.06896551724138,14,113,1.0,2015-08-15,1
3890261,Borussia Dortmund,638,731,87.27770177838578,16,65,4.0,2015-08-15,1
3890261,Borussia Mönchengladbach,384,483,79.5031055900621,5,65,0.0,2015-08-15,1
3890267,Eintracht Frankfurt,299,396,75.5050505050505,13,51,1.0,2015-08-16,1
3890267,Wolfsburg,525,631,83.2012678288431,8,51,2.0,2015-08-16,1
3890266,FC Köln,231,351,65.8119658119658,8,79,3.0,2015-08-16,1
3890266,VfB Stuttgart,329,454,72.4669603524229,28,79,1.0,2015-08-16,1
3890268,Hertha Berlin,369,502,73.50597609561753,10,115,1.0,2015-08-21,2
3890268,Werder Bremen,319,438,72.8310502283105,9,115,1.0,2015-08-21,2
3890271,Darmstadt 98,95,202,47.02970297029702,10,76,1.0,2015-08-22,2
3890271,Schalke 04,540,651,82.94930875576037,20,76,1.0,2015-08-22,2
3890269,Hamburger SV,325,484,67.14876033057851,14,88,3.0,2015-08-22,2
3890269,VfB Stuttgart,228,366,62.295081967213115,11,88,2.0,2015-08-22,2
3890274,FC Köln,201,303,66.33663366336634,9,69,1.0,2015-08-22,2
3890274,Wolfsburg,549,667,82.3088455772114,15,69,1.0,2015-08-22,2
3890270,Bayern Munich,530,632,83.86075949367088,21,66,2.0,2015-08-22,2
3890270,Hoffenheim,135,241,56.016597510373444,8,66,1.0,2015-08-22,2
3890273,Bayer Leverkusen,408,535,76.26168224299066,11,98,1.0,2015-08-22,2
3890273,Hannover 96,248,386,64.24870466321244,5,98,0.0,2015-08-22,2
3890272,Augsburg,243,358,67.87709497206704,14,82,1.0,2015-08-22,2
3890272,Eintracht Frankfurt,310,438,70.77625570776256,11,82,1.0,2015-08-22,2
3890276,Borussia Mönchengladbach,705,817,86.29130966952265,15,79,1.0,2015-08-23,2
3890276,FSV Mainz 05,284,381,74.54068241469817,12,79,2.0,2015-08-23,2
3890275,Borussia Dortmund,475,613,77.48776508972267,18,87,4.0,2015-08-23,2
3890275,Ingolstadt,185,326,56.74846625766872,3,87,0.0,2015-08-23,2
3890277,Schalke 04,375,484,77.47933884297521,12,69,0.0,2015-08-28,3
3890277,Wolfsburg,509,611,83.30605564648118,9,69,3.0,2015-08-28,3
3890280,FC Köln,318,430,73.95348837209302,6,87,2.0,2015-08-29,3
3890280,Hamburger SV,336,437,76.88787185354691,17,87,1.0,2015-08-29,3
3890279,Eintracht Frankfurt,298,422,70.61611374407583,6,92,3.0,2015-08-29,3
3890279,VfB Stuttgart,324,451,71.84035476718404,14,92,1.0,2015-08-29,3
3890278,Bayer Leverkusen,221,315,70.15873015873015,10,83,0.0,2015-08-29,3
3890278,Bayern Munich,497,590,84.23728813559322,14,83,3.0,2015-08-29,3
3890283,Darmstadt 98,112,233,48.06866952789699,5,82,0.0,2015-08-29,3
3890283,Hoffenheim,407,525,77.52380952380953,14,82,0.0,2015-08-29,3
3890281,Augsburg,427,535,79.81308411214954,10,92,0.0,2015-08-29,3
3890281,Ingolstadt,226,348,64.9425287356322,16,92,1.0,2015-08-29,3
3890282,FSV Mainz 05,343,436,78.6697247706422,18,77,3.0,2015-08-29,3
3890282,Hannover 96,375,475,78.94736842105263,11,77,0.0,2015-08-29,3
3890284,Borussia Dortmund,498,597,83.41708542713567,15,63,3.0,2015-08-30,3
3890284,Hertha Berlin,270,371,72.77628032345014,4,63,1.0,2015-08-30,3
3890285,Borussia Mönchengladbach,433,559,77.4597495527728,9,93,1.0,2015-08-30,3
3890285,Werder Bremen,237,330,71.81818181818181,19,93,2.0,2015-08-30,3
3890286,Borussia Mönchengladbach,567,655,86.56488549618321,13,72,0.0,2015-09-11,4
3890286,Hamburger SV,421,515,81.74757281553397,10,72,3.0,2015-09-11,4
3890292,Borussia Dortmund,562,659,85.28072837632777,17,74,3.0,2015-09-12,4
3890292,Hannover 96,174,258,67.44186046511628,5,74,2.0,2015-09-12,4
3890290,Hertha Berlin,321,439,73.12072892938497,8,86,2.0,2015-09-12,4
3890290,VfB Stuttgart,330,441,74.82993197278913,12,86,1.0,2015-09-12,4
3890289,Eintracht Frankfurt,384,494,77.7327935222672,18,76,6.0,2015-09-12,4
3890289,FC Köln,358,482,74.27385892116183,13,76,2.0,2015-09-12,4
