match_id,team,completed_passes,total_passes,pass_completion_percentage,Shots,duels,xG,Goals,Goals Conceded,Possession,match_date,match_week
3825562,Málaga,331.0,427.0,77.51756440281031,26.0,62.0,1.09,0.0,0.0,60.0,2015-08-21,1
3825562,Sevilla,241.0,344.0,70.05813953488372,10.0,62.0,1.41,0.0,0.0,40.0,2015-08-21,1
3825563,Atlético Madrid,549.0,674.0,81.4540059347181,12.0,76.0,0.54,1.0,0.0,63.0,2015-08-22,1
3825563,Las Palmas,321.0,424.0,75.70754716981132,7.0,76.0,0.5,0.0,1.0,37.0,2015-08-22,1
3825566,Rayo Vallecano,360.0,475.0,75.78947368421053,8.0,109.0,0.7,0.0,0.0,53.0,2015-08-22,1
3825566,Valencia,271.0,395.0,68.60759493670886,10.0,109.0,1.69,0.0,0.0,47.0,2015-08-22,1
3825565,Espanyol,200.0,317.0,63.09148264984227,5.0,76.0,0.29,1.0,0.0,31.0,2015-08-22,1
3825565,Getafe,472.0,587.0,80.40885860306643,13.0,76.0,1.35,0.0,1.0,69.0,2015-08-22,1
3825564,RC Deportivo La Coruña,413.0,544.0,75.91911764705883,16.0,87.0,0.6,0.0,0.0,56.0,2015-08-22,1
3825564,Real Sociedad,288.0,417.0,69.06474820143885,10.0,87.0,1.08,0.0,0.0,44.0,2015-08-22,1
3825568,Real Betis,351.0,477.0,73.58490566037736,22.0,76.0,1.6,1.0,1.0,68.0,2015-08-23,1
3825568,Villarreal,164.0,263.0,62.3574144486692,8.0,76.0,1.1,1.0,1.0,32.0,2015-08-23,1
3825567,Real Madrid,581.0,698.0,83.2378223495702,27.0,81.0,1.5,0.0,0.0,70.0,2015-08-23,1
3825567,Sporting Gijón,218.0,349.0,62.46418338108882,6.0,81.0,0.28,0.0,0.0,30.0,2015-08-23,1
3825569,Celta Vigo,611.0,707.0,86.42149929278642,14.0,64.0,1.68,2.0,1.0,69.0,2015-08-23,1
3825569,Levante UD,202.0,311.0,64.95176848874597,11.0,64.0,0.49,1.0,2.0,31.0,2015-08-23,1
266236,Athletic Club,215.0,353.0,60.90651558073654,6.0,79.0,0.3,0.0,1.0,30.0,2015-08-23,1
266236,Barcelona,596.0,736.0,80.97826086956522,10.0,79.0,1.74,1.0,0.0,70.0,2015-08-23,1
3825570,Eibar,274.0,405.0,67.65432098765433,10.0,99.0,2.27,3.0,1.0,43.0,2015-08-24,1
3825570,Granada,403.0,530.0,76.0377358490566,13.0,99.0,1.19,1.0,3.0,57.0,2015-08-24,1
3825571,Espanyol,294.0,404.0,72.77227722772277,5.0,98.0,0.59,1.0,3.0,43.0,2015-08-28,2
3825571,Villarreal,414.0,541.0,76.52495378927911,15.0,98.0,1.48,3.0,1.0,57.0,2015-08-28,2
3825573,Real Sociedad,458.0,574.0,79.79094076655052,14.0,88.0,0.91,0.0,0.0,61.0,2015-08-29,2
3825573,Sporting Gijón,269.0,398.0,67.58793969849246,7.0,88.0,0.23,0.0,0.0,39.0,2015-08-29,2
267422,Barcelona,599.0,697.0,85.93974175035868,23.0,62.0,1.83,1.0,0.0,75.0,2015-08-29,2
267422,Málaga,158.0,259.0,61.003861003861005,4.0,62.0,0.43,0.0,1.0,25.0,2015-08-29,2
3825572,Real Betis,245.0,327.0,74.92354740061162,7.0,42.0,1.09,0.0,5.0,32.0,2015-08-29,2
3825572,Real Madrid,595.0,694.0,85.73487031700289,21.0,42.0,2.1,5.0,0.0,68.0,2015-08-29,2
3825574,Celta Vigo,611.0,723.0,84.50899031811895,13.0,76.0,2.16,3.0,0.0,63.0,2015-08-29,2
